,東京,東京,東京
年月,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
Jan-41,4.8,8,1
Feb-41,5,8,1
Mar-41,8.2,8,1
Apr-41,12.7,8,1
May-41,17.6,8,1
Jun-41,20.8,8,1
Jul-41,23.7,8,1
Aug-41,25.4,8,1
Sep-41,20.6,8,1
Oct-41,17.3,8,1
Nov-41,11.7,8,1
Dec-41,6.9,8,1
Jan-42,2.9,8,1
Feb-42,2.6,8,1
Mar-42,10.3,8,1
Apr-42,13.6,8,1
May-42,17.3,8,1
Jun-42,22.2,8,1
Jul-42,27.5,8,1
Aug-42,27,8,1
Sep-42,24.9,8,1
Oct-42,16.4,8,1
Nov-42,10.1,8,1
Dec-42,5.4,8,1
Jan-43,2.4,8,1
Feb-43,4,8,1
Mar-43,6.8,8,1
Apr-43,11.8,8,1
May-43,17.8,8,1
Jun-43,21.5,8,1
Jul-43,25.1,8,1
Aug-43,27.4,8,1
Sep-43,24.4,8,1
Oct-43,17.2,8,1
Nov-43,10.8,8,1
Dec-43,5.7,8,1
Jan-44,3,8,1
Feb-44,3.2,8,1
Mar-44,5.6,8,1
Apr-44,10.6,8,1
May-44,17.7,8,1
Jun-44,22.3,8,1
Jul-44,25.6,8,1
Aug-44,27.5,8,1
Sep-44,23.2,8,1
Oct-44,16.3,8,1
Nov-44,10.9,8,1
Dec-44,4.3,8,1
Jan-45,1.1,8,1
Feb-45,1.6,8,1
Mar-45,6.6,8,1
Apr-45,13.5,8,1
May-45,15.6,8,1
Jun-45,20.4,8,1
Jul-45,22,8,1
Aug-45,26.7,8,1
Sep-45,22.4,8,1
Oct-45,16.8,8,1
Nov-45,11.3,8,1
Dec-45,4.8,8,1
Jan-46,3.5,8,1
Feb-46,4.2,8,1
Mar-46,6.2,8,1
Apr-46,14.3,8,1
May-46,16.9,8,1
Jun-46,23.3,8,1
Jul-46,26.2,8,1
Aug-46,26.7,8,1
Sep-46,23.1,8,1
Oct-46,17.3,8,1
Nov-46,12.4,8,1
Dec-46,4.7,8,1
Jan-47,3.4,8,1
Feb-47,2.7,8,1
Mar-47,6.8,8,1
Apr-47,13.1,8,1
May-47,16.9,8,1
Jun-47,19.2,8,1
Jul-47,25.7,8,1
Aug-47,28,8,1
Sep-47,22.9,8,1
Oct-47,15.6,8,1
Nov-47,10.3,8,1
Dec-47,4.1,8,1
Jan-48,4,8,1
Feb-48,5.1,8,1
Mar-48,6.5,8,1
Apr-48,14.2,8,1
May-48,18.1,8,1
Jun-48,21.6,8,1
Jul-48,26,8,1
Aug-48,25.4,8,1
Sep-48,23.8,8,1
Oct-48,17.4,8,1
Nov-48,11.9,8,1
Dec-48,7.9,8,1
Jan-49,5.4,8,1
Feb-49,6.5,8,1
Mar-49,6.7,8,1
Apr-49,12.1,8,1
May-49,18.4,8,1
Jun-49,19.4,8,1
Jul-49,25.3,8,1
Aug-49,26.6,8,1
Sep-49,22.4,8,1
Oct-49,16.1,8,1
Nov-49,10,8,1
Dec-49,6,8,1
Jan-50,5,8,1
Feb-50,4.7,8,1
Mar-50,7.7,8,1
Apr-50,13.9,8,1
May-50,19.2,8,1
Jun-50,21.8,8,1
Jul-50,26.5,8,1
Aug-50,26.2,8,1
Sep-50,23.8,8,1
Oct-50,15.8,8,1
Nov-50,11.1,8,1
Dec-50,5.4,8,1
Jan-51,3.3,8,1
Feb-51,4.5,8,1
Mar-51,8.8,8,1
Apr-51,13.3,8,1
May-51,18,8,1
Jun-51,21.2,8,1
Jul-51,24.3,8,1
Aug-51,26.7,8,1
Sep-51,20.7,8,1
Oct-51,17.3,8,1
Nov-51,11.4,8,1
Dec-51,7.3,8,1
Jan-52,4.3,8,1
Feb-52,2.6,8,1
Mar-52,7.4,8,1
Apr-52,13.3,8,1
May-52,18.1,8,1
Jun-52,21.3,8,1
Jul-52,24.3,8,1
Aug-52,26.8,8,1
Sep-52,22.7,8,1
Oct-52,17.3,8,1
Nov-52,12,8,1
Dec-52,5.3,8,1
Jan-53,3.3,8,1
Feb-53,4.2,8,1
Mar-53,9.4,8,1
Apr-53,12.7,8,1
May-53,17.8,8,1
Jun-53,20.6,8,1
Jul-53,24.7,8,1
Aug-53,25,8,1
Sep-53,22.2,8,1
Oct-53,17.2,8,1
Nov-53,10.4,8,1
Dec-53,7.6,8,1
Jan-54,4.3,8,1
Feb-54,5.6,8,1
Mar-54,8.4,8,1
Apr-54,14.9,8,1
May-54,17.6,8,1
Jun-54,18.3,8,1
Jul-54,22.3,8,1
Aug-54,27,8,1
Sep-54,24.6,8,1
Oct-54,15.5,8,1
Nov-54,11.7,8,1
Dec-54,7.1,8,1
Jan-55,3.8,8,1
Feb-55,6.2,8,1
Mar-55,8.7,8,1
Apr-55,13.6,8,1
May-55,18.2,8,1
Jun-55,22.7,8,1
Jul-55,27.6,8,1
Aug-55,26.3,8,1
Sep-55,22.3,8,1
Oct-55,17.6,8,1
Nov-55,11,8,1
Dec-55,7.9,8,1
Jan-56,4.2,8,1
Feb-56,4.3,8,1
Mar-56,8.6,8,1
Apr-56,13.1,8,1
May-56,17.6,8,1
Jun-56,22.3,8,1
Jul-56,24.2,8,1
Aug-56,25.4,8,1
Sep-56,22.7,8,1
Oct-56,17.3,8,1
Nov-56,11.8,8,1
Dec-56,5,8,1
Jan-57,5.7,8,1
Feb-57,4.3,8,1
Mar-57,6.8,8,1
Apr-57,14.3,8,1
May-57,17.1,8,1
Jun-57,19.8,8,1
Jul-57,24.4,8,1
Aug-57,27.3,8,1
Sep-57,20.8,8,1
Oct-57,17.2,8,1
Nov-57,12.9,8,1
Dec-57,8,8,1
Jan-58,5,8,1
Feb-58,6,8,1
Mar-58,8.4,8,1
Apr-58,13.9,8,1
May-58,18,8,1
Jun-58,22,8,1
Jul-58,24.9,8,1
Aug-58,25.8,8,1
Sep-58,23.2,8,1
Oct-58,16,8,1
Nov-58,11.1,8,1
Dec-58,7.9,8,1
Jan-59,3.7,8,1
Feb-59,7.3,8,1
Mar-59,8.9,8,1
Apr-59,15.3,8,1
May-59,18.5,8,1
Jun-59,20.4,8,1
Jul-59,26.1,8,1
Aug-59,26.7,8,1
Sep-59,24.1,8,1
Oct-59,17.6,8,1
Nov-59,12.3,8,1
Dec-59,7,8,1
Jan-60,5,8,1
Feb-60,6.6,8,1
Mar-60,9.5,8,1
Apr-60,12.8,8,1
May-60,17.8,8,1
Jun-60,21.5,8,1
Jul-60,25.8,8,1
Aug-60,26.4,8,1
Sep-60,23.6,8,1
Oct-60,16.8,8,1
Nov-60,12.3,8,1
Dec-60,6.7,8,1
Jan-61,3.6,8,1
Feb-61,4.5,8,1
Mar-61,8.2,8,1
Apr-61,14.9,8,1
May-61,19.8,8,1
Jun-61,22.6,8,1
Jul-61,27.4,8,1
Aug-61,26.8,8,1
Sep-61,25.3,8,1
Oct-61,18.3,8,1
Nov-61,12.7,8,1
Dec-61,7.2,8,1
Jan-62,4.5,8,1
Feb-62,5.9,8,1
Mar-62,8.2,8,1
Apr-62,14.1,8,1
May-62,18.4,8,1
Jun-62,20.9,8,1
Jul-62,25.1,8,1
Aug-62,28.1,8,1
Sep-62,24.5,8,1
Oct-62,16.7,8,1
Nov-62,11.3,8,1
Dec-62,7,8,1
Jan-63,3.2,8,1
Feb-63,4.8,8,1
Mar-63,7.6,8,1
Apr-63,13.9,8,1
May-63,18.4,8,1
Jun-63,21.8,8,1
Jul-63,25.7,8,1
Aug-63,26.6,8,1
Sep-63,21.4,8,1
Oct-63,16.3,8,1
Nov-63,12.1,8,1
Dec-63,8.1,8,1
Jan-64,5.4,8,1
Feb-64,4.2,8,1
Mar-64,7.6,8,1
Apr-64,15.3,8,1
May-64,18.9,8,1
Jun-64,21.5,8,1
Jul-64,25.5,8,1
